IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
Storage;Object Storage;Amazon S3;Data Transfer;DataTransfer;AmazonS3;%DataTransfer%;;
Storage;Object Storage;Amazon S3;Storage;AWS-Bytes;AmazonS3;%AWS-%ytes;;
Storage;Object Storage;Amazon S3;Data Transfer;DataXfer;AmazonS3;%DataXfer%;;
Storage;Object Storage;Amazon S3;Storage;Retrieval-Bytes;AmazonS3;%Retrieval-Bytes%;;
Storage;Object Storage;Amazon S3;Data Transfer;S3RTC-Bytes;AmazonS3;%S3RTC%-Bytes%;;
Storage;Object Storage;Amazon S3;Storage;Retrieval-ZIA;AmazonS3;%Retrieval-ZIA;;
Storage;Object Storage;Amazon S3;Data Transfer;CloudFront-Bytes;AmazonS3;%CloudFront%Bytes;;
Database;Ledger Database;Amazon QLDB;Storage;Storage;AmazonQLDB;%Storage;;
Database;Ledger Database;Amazon QLDB;IO Requests;IO-Request;AmazonQLDB;%IO-Request;;
Overhead;Tax;;;;AmazonRedshift;;;Tax%
Database;Data Warehouse;Amazon Redshift;Compute;HeavyUsage;AmazonRedshift;%HeavyUsage%;;
Database;Data Warehouse;Amazon Redshift;Compute;Node-ra;AmazonRedshift;%Node:ra%;;
Database;Data Warehouse;Amazon Redshift;Data Scan;DataScanned;AmazonRedshift;%DataScanned%;;
Database;Data Warehouse;Amazon Redshift;Compute;Node-dc;AmazonRedshift;%Node:dc%;;
Database;Data Warehouse;Amazon Redshift;Compute;Node-ds;AmazonRedshift;%Node:ds%;;
Overhead;Tax;;;;AmazonVPC;;;Tax%
Networking;Virtual Private Cloud;Amazon VPC;Data Transfer;DataTransfer-Bytes;AmazonVPC;%DataTransfer%Bytes;;
Networking;Virtual Private Cloud;Amazon VPC;Data Transfer;AWS-Bytes;AmazonVPC;%AWS%Bytes;;
Networking;Virtual Private Cloud;Amazon VPC;Data Transfer;CloudFront-Bytes;AmazonVPC;%CloudFront%Bytes%;;
Networking;Virtual Private Cloud;Amazon VPC;VPN;VPN-Usage-Hours-ipsec.1;AmazonVPC;%VPN-Usage-Hours:ipsec.1;;
Networking;Virtual Private Cloud;Amazon VPC;Transit Gateway;TransitGateway-Hours;AmazonVPC;%TransitGateway-Hours;;
Networking;Virtual Private Cloud;Amazon VPC;Transit Gateway;TransitGateway-Bytes;AmazonVPC;%TransitGateway-Bytes;;
Networking;Virtual Private Cloud;Amazon VPC;VPC Endpoint;VpcEndpoint-Bytes;AmazonVPC;%VpcEndpoint-Bytes;;
Networking;Virtual Private Cloud;Amazon VPC;VPC Endpoint;VpcEndpoint-Hours;AmazonVPC;%VpcEndpoint-Hours;;
Networking;Virtual Private Cloud;Amazon VPC;VPC Endpoint;EndpointHours;AmazonVPC;%EndpointHours;;
Networking;Virtual Private Cloud;Amazon VPC;ENI Mirroring;ENI-Mirror;AmazonVPC;%ENI-Mirror;;
Networking;Virtual Private Cloud;Amazon VPC;Connection;ConnectionHours;AmazonVPC;%ConnectionHours;;
Overhead;Tax;;;;AmazonSES;;;Tax%
Cloud Services;Communication Services;Amazon SES;Email Sending;Recipients;AmazonSES;%Recipients%;;
Cloud Services;Communication Services;Amazon SES;Email Attachments;AttachmentsSize-Bytes;AmazonSES;%AttachmentsSize-Bytes;;
Cloud Services;Communication Services;Amazon SES;Email Receiving;ReceivedChunk;AmazonSES;%ReceivedChunk%;;
Cloud Services;Communication Services;Amazon SES;Email Messages;Message;AmazonSES;%Message%;;
Cloud Services;Communication Services;Amazon SES;Data Transfer;DataTransfer-Out-Bytes;AmazonSES;%DataTransfer-Out-Bytes;;
Cloud Services;Communication Services;Amazon SES;Data Transfer;DataTransfer-In-Bytes;AmazonSES;%DataTransfer-In-Bytes;;
Overhead;Tax;;;;AmazonSNS;;;Tax%
Cloud Services;Communication Services;Amazon SNS;API Requests;Requests-Tier1;AmazonSNS;%Requests-Tier1;;
Cloud Services;Communication Services;Amazon SNS;API Requests;Requests-Tier2;AmazonSNS;%Requests-Tier2;;
Cloud Services;Communication Services;Amazon SNS;Data Transfer;DataTransfer-Out-Bytes;AmazonSNS;%DataTransfer-Out-Bytes;;
Cloud Services;Communication Services;Amazon SNS;Data Transfer;DataTransfer-In-Bytes;AmazonSNS;%DataTransfer-In-Bytes;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-GCM;AmazonSNS;%DeliveryAttempts-GCM;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-SMTP;AmazonSNS;%DeliveryAttempts-SMTP;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-HTTP;AmazonSNS;%DeliveryAttempts-HTTP;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-SQS;AmazonSNS;%DeliveryAttempts-SQS;;
Cloud Services;Communication Services;Amazon SNS;SMS;SMS-Price;AmazonSNS;%SMS-Price%;;
Cloud Services;Communication Services;Amazon SNS;SMS;SMS-Sent;AmazonSNS;%SMS-Sent%;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-APNS;AmazonSNS;%DeliveryAttempts-APNS%;;
Cloud Services;Communication Services;Amazon SNS;Message Delivery;DeliveryAttempts-LAMBDA;AmazonSNS;%DeliveryAttempts-LAMBDA;;
